key,source,target
TLStringTextTooltip/TEXT_TOOLTIP_TAX_INFO_GUIDE_TAX_TOTAL_DESC,Taxes accumulated in Stonegard Castle.,
TLStringTextTooltip/TEXT_TOOLTIP_TAX_INFO_GUIDE_TAX_VIENTA_DESC,Taxes accumulated in Vienta Village.,
TLStringTextTooltip/TEXT_TOOLTIP_TAX_INFO_GUIDE_TAX_CASTLE_EXPECT_DESC,Expected Castle Tax,
TLStringTextTooltip/TEXT_TOOLTIP_TAX_INFO_GUIDE_TAX_DELIVERY_DESC,"The Legion Guild can transport the taxes accumulated in Vienta Village to Stonegard Castle.
Successfully transported taxes will be added to Siege rewards.",
TLStringTextTooltip/TEXT_TOOLTIP_TAX_INFO_GUIDE_CASTLE_OWNER_REWARD_DESC,"On the day of the Siege War, a certain percentage of the Stonegard Castle Vault will be set as Siege rewards during the Siege War preparation phase.
Siege rewards will be split between the Siege Vault and Pillage Zone in the same ratio.",
TLStringTextTooltip/TEXT_TOOLTIP_SIEGE_REWARD_DISTRIBUTION_RATIO_GUIDE_DESC,"Shows an approximate ratio proportional to the input guild's overall amount.",
TLStringTextTooltip/TEXT_TOOLTIP_TAXRATE_CHANGE_TOOLTIP,"The castle's tax rate can be changed 2 times before the next Castle Siege.
Once changed, it cannot be changed again for 24 hours.",
TLStringTextTooltip/TEXT_TOOLTIP_TAXRATE_CHANGE,Change Tax Rate,
TLStringTextTooltip/TEXT_TOOLTIP_CHARACTERNAME_CHANGE_BUTTON_DESC,Rename Character,
TLStringTextTooltip/TEXT_TOOLTIP_GUILDNAME_CHANGE_BUTTON_DESC,Rename Guild,
TLStringTextTooltip/TEXT_TOOLTIP_CHARACTERNAME_CHANGE_BUTTON_FAIL_ITEM_DESC,{0} required. Can be purchased at the Shop.,
TLStringTextTooltip/TEXT_TOOLTIP_GUILDNAME_CHANGE_BUTTON_FAIL_ITEM_DESC,{0} required. Can be purchased at the Shop.,
TLStringTextTooltip/TEXT_TOOLTIP_CHARACTERNAME_CHANGE_BUTTON_FAIL_LEVEL_DESC,Can be renamed at Level {0}.,
TLStringTextTooltip/TEXT_TOOLTIP_STAT_STR,"Serves as the source of physical prowess. Provides strong Defense in addition to increasing Max Health, Health Regen, Max Damage, and Min Damage.

Achievement Effects
Strength 30: Max Health 750
Strength 40: Damage Reduction 15
Strength 50: Heavy Attack Chance 100
Strength 60: Max Health 900",
TLStringTextTooltip/TEXT_TOOLTIP_STAT_DEX,"Serves as the source of nimbleness. Increases quickness and critical attacks in addition to Evasion and Max Damage.

Achievement Effects
Dexterity 30: Critical Hit Chance 100
Dexterity 40: Bonus Damage 15
Dexterity 50: Movement Speed +5%
Dexterity 60: Critical Hit Chance 120",
TLStringTextTooltip/TEXT_TOOLTIP_STAT_INT,"Serves as the source of mental prowess. Increases Max Mana and Mana Regen in addition to cooldown abilities and Max Damage.

Achievement Effects
Wisdom 30: Max Mana 750
Wisdom 40: Debuff Duration -5%
Wisdom 50: Cooldown Speed +5%
Wisdom 60: Max Mana 900",
TLStringTextTooltip/TEXT_TOOLTIP_STAT_PER,"Serves as the source of insight and awareness. Heightens awareness during battle. Increases the accuracy of attacks, CC effects, the duration of Buffs, and Max Damage and Min Damage.

Additional Effects
Perception 30: Hit Chance 100
Perception 40: Buff Duration +5%
Perception 50: Range +7.5%
Perception 60: Hit Chance 120",
TLStringTextTooltip/TEXT_TOOTIP_STAT_PER,"Serves as the source of insight and awareness. Heightens awareness during battle. Increases the accuracy of attacks, CC effects, the duration of Buffs, and Max Damage and Min Damage.

Additional Effects
Perception 30: Hit Chance 100
Perception 40: Buff Duration +5%
Perception 50: Range +7.5%
Perception 60: Hit Chance 120",
TLStringTextTooltip/TEXT_TOOLTIP_SERVER_TRANSFER_SERVER_REFRESH_DESC,Refresh Servers,
TLStringTextTooltip/TEXT_TOOLTIP_OPTION_EMERGENCY_EXIT_BTN_TITLE,Escape,
TLStringTextTooltip/TEXT_TOOLTIP_OPTION_EMERGENCY_EXIT_BTN_DESC,"Teleports to an available point. You can also enter ""/escape"" in chat to teleport.",
TLStringTextTooltip/TEXT_TOOLTIP_TAX_INFO_GUIDE_INTERSERVER_OCCUPATION,"When a Inter-Server Guild Battle's server matchmaking is confirmed, the Inter-Server Guild Battle's reward is set to the starting number of Dynamic Events, Dimension Bosses x certain ratio from Stonegard Castle. Rewards depend on the matched server.",
TLStringTextTooltip/TEXT_STRING_TOOLTIP_REWARD_PCINFO_ADENA,The common currency of Solisium.,
TLStringTextTooltip/TEXT_STRING_TOOLTIP_REWARD_PCINFO_ADENA_LIMIT,"The common currency of Solisium.

^<imgf=Adena> {0}",
TLStringTextTooltip/TEXT_STRING_TOOLTIP_REWARD_PCINFO_GUILDCOIN,A currency used in the Guild Shop.,
TLStringTextTooltip/TEXT_STRING_TOOLTIP_REWARD_PCINFO_GUILDCOIN_LIMIT,"A currency used in the Guild Shop.

^<imgf=Guildcoin> {0}",
TLStringTextTooltip/TEXT_STRING_TOOLTIP_REWARD_PCINFO_DIAMOND,A paid currency used at the Shop and the Auction House.,
TLStringTextTooltip/TEXT_STRING_TOOLTIP_REWARD_PCINFO_DIAMOND_LIMIT,"A paid currency used at the Shop and the Auction House.

^<imgf=IMG_BMCoin_Gold> {0}",
TLStringTextTooltip/TEXT_STRING_TOOLTIP_REWARD_PCINFO_BMCOIN,A special currency used in the Event Shop.,
TLStringTextTooltip/TEXT_TOOLTIP_HUD_PCINFO_BMCOIN_DESC,A special currency used in the Event Shop.,
TLStringTextTooltip/TEXT_STRING_TOOLTIP_REWARD_PCINFO_BMCOIN_LIMIT,"A special currency used in the Event Shop.

^<imgf=IMG_Laslancoin_001> {0}",
TLStringTextTooltip/TEXT_TOOLTIP_HUD_PCINFO_BMCOIN_LIMIT_DESC,"A special currency used in the Event Shop.

^<imgf=IMG_Laslancoin_001> {0}",
TLStringTextTooltip/TEXT_STRING_TOOLTIP_REWARD_PCINFO_SOCIALCOIN,This is a form of social purchasing money used in the Shop.,
TLStringTextTooltip/TEXT_STRING_TOOLTIP_REWARD_PCINFO_SOCIALCOIN_LIMIT,"This is a form of social purchasing money used in the Shop.

^<imgf=SocialCoin> {0}",
TLStringTextTooltip/TEXT_STRING_TOOLTIP_REWARD_PCINFO_CONTRACTCOIN,The currency used in the Contract Coin Shop.,
TLStringTextTooltip/TEXT_STRING_TOOLTIP_REWARD_PCINFO_CONTRACTCOIN_LIMIT,"The currency used in the Contract Coin Shop.

^<imgf=Contractcoin> {0}",
TLStringTextTooltip/TEXT_STRING_TOOLTIP_REWARD_PCINFO_LOSTANDFOUND_COIN,A currency that can be used instead of Sollant when removing Serious Death Aftereffect.,
TLStringTextTooltip/TEXT_STRING_TOOLTIP_REWARD_PCINFO_LOSTANDFOUND_COIN_LIMIT,"A currency that can be used instead of Sollant when removing Serious Death Aftereffect.

^<imgf=LostandFoundCoin>{0}",
TLStringTextTooltip/TEXT_STRING_TOOLTIP_REWARD_RANKING_ACTIVITY,Points for measuring Activity Ranking.,
TLStringTextTooltip/TEXT_TOOLTIP_REWARD_RANKING_ACTIVITY_DESC,Points for measuring Activity Ranking.,
TLStringTextTooltip/TEXT_TOOLTIP_WC_BOOSTFEST_FORMER,"For 3 weeks from 2024-03-13 to 2024-04-03, upon completing the existing Dimensional Circle Normal Dungeons, ^<c=@Notification_Highlight>1.5x^</c> the normal ^<c=@Notification_Highlight>Dimensional Soul Shards^</c> will be awarded. 4 for Normal mode, and 6 for Hard mode will be given.

For 5 weeks from 2024-03-13 to 2024-04-17, upon clearing the existing Dimensional Circle Normal Dungeons, ^<c=@Notification_Highlight>2x^</c> the normal ^<c=@Notification_Highlight>Dimensional Soul Shards^</c> will be awarded. 2 for Normal mode, and 2 for Hard mode will be given.

After the start, the total number of dungeon clears until 2024-03-13 will be counted, and the ^<c=@Notification_Highlight>Dimensional Soul Shards^</c> will be provided on 2024-03-22.

For more information, please check the official announcement on the website.",
TLStringTextTooltip/TEXT_TOOLTIP_WC_BOOSTFEST_NEW,"For 5 weeks from 2024-03-13 to 2024-04-17, specific dungeons' ^<c=@Notification_Highlight>Dimensional Contract Token^</c> cost is discounted.

The following dungeons' Dimensional Contract Token costs are discounted:

2024-03-13 06:00 ~ 2024-03-20 06:00
^<imgf=IMG_Help_Dot_Markup_01>^<c=@Notification_Highlight><Island of Terror>^</c> Dimensional Points discounted to 300
2024-03-20 06:00 ~ 2024-03-27 06:00
^<imgf=IMG_Help_Dot_Markup_01>^<c=@Notification_Highlight><Valley of Slaughter>^</c> Dimensional Points discounted to 300
2024-03-27 06:00 ~ 2024-04-03 06:00
^<imgf=IMG_Help_Dot_Markup_01>^<c=@Notification_Highlight><Voidwastes>^</c> Dimensional Points discounted to 300
2024-04-03 06:00 ~ 2024-04-10 06:00
^<imgf=IMG_Help_Dot_Markup_01>^<c=@Notification_Highlight><Carmine Rage Island>^</c> Dimensional Points discounted to 300
2024-04-10 06:00 ~ 2024-04-17 06:00
^<imgf=IMG_Help_Dot_Markup_01>^<c=@Notification_Highlight><Torture Chamber of Screams>^</c> Dimensional Points discounted to 300

For 5 weeks from 2024-03-13 to 2024-04-17, additional ^<c=@Notification_Highlight>Dimensional Contract Token^</c> points will be given. The points will be given on every Friday, Saturday and Sunday of the week, and ^<c=@Notification_Highlight>900 points^</c> will be sent via mail.

For more information, please check the official announcement on the website.",
TLStringTextTooltip/TEXT_TOOLTIP_WC_100DFEST,"To commemorate 100 days of Solisium Continent Exploration, the Einar 100-Day Festival has begun! Don't miss out on the various benefits we of the Einar Church have prepared for you.

First! If you go to the town's ^<c=@Notification_Highlight>Festival Item Exchange Merchant^</c>, you can purchase various items with ^<c=@Notification_Highlight>100 Sollant^</c>.
Second! If you go to the town's ^<c=@Notification_Highlight>Festival Item Crafter^</c>, you can craft ^<c=@Notification_Highlight>precious items^</c>.
Third! All ^<c=@Notification_Highlight>teleport costs^</c> are discounted to ^<c=@Notification_Highlight>100 Sollant^</c>, so you can explore anywhere your heart desires.
Fourth! Training Book, Improvement Book and Equipment Upgrade ^<c=@Notification_Highlight>crafting costs^</c> are all only ^<c=@Notification_Highlight>100 Sollant^</c>.
Fifth! On the ^<c=@Notification_Highlight>100th day^</c>, we will give you additional rewards through ^<c=@Notification_Highlight>Check-In^</c> and ^<c=@Notification_Highlight>mail^</c>!

^<c=@Notification_Highlight>For more information, please check the announcement on the official website.^</c>",
TLStringTextTooltip/TEXT_TOOLTIP_WC_007_DESC,"A party dungeon buff just for new/returning users!

For 6 weeks from 2024-03-13 to 2024-04-24, new/returning users can give ^<c=@Notification_Highlight>Boba Honey^</c> to ^<c=@Notification_Highlight>Boba^</c> inside the dimensional circle and receive a buff that will aid you in clearing dungeons.

The buff is applied to nearby party members as well.
Clear the dungeons together!

^<c=@Notification_Highlight>WELCOME buff is only active in normal dungeons.^</c>

[WELCOME Buff]
^<imgf=IMG_Help_Dot_Markup_01> Max Health 1000
^<imgf=IMG_Help_Dot_Markup_01> Defense 100
^<imgf=IMG_Help_Dot_Markup_01> Hit Chance 100
^<imgf=IMG_Help_Dot_Markup_01> Critical Hit Chance 100
^<imgf=IMG_Help_Dot_Markup_01> Heavy Attack Chance 100
^<imgf=IMG_Help_Dot_Markup_01> Mana Regen 100

^<c=@Notification_Highlight>Please visit the official announcement on the website for more information.^</c>",
TLStringTextTooltip/TEXT_TOOLTIP_MASTER_ALARM_ICON_INFO_DESC,"Favorited items appear in the Content Notifications.
Up to {0} items can be added.",
TLStringTextTooltip/TEXT_TOOLTIP_MASTER_ALARM_ICON_INFO_COUNT_DESC,"Favorited items appear in the Content Notifications.
Up to {0} items can be added.",
TLStringTextTooltip/TEXT_TOOLTIP_HUD_BUTTON_CONTENTSALARM_TITLE,Content Notifications ^[Action.ToggleContentsAlarmManager],
TLStringTextTooltip/TEXT_TOOLTIP_HUD_BUTTON_CONTENTSALARM_COUNT_TITLE,Content Notifications ^[Action.ToggleContentsAlarmManager],
TLStringTextTooltip/TEXT_TOOLTIP_HUD_BUTTON_CONTENTSALARM_DESC,"Manage available content.
Favorited items will always appear in the Content Notifications.",
TLStringTextTooltip/TEXT_TOOLTIP_HUD_BUTTON_CONTENTSALARM_COUNT_DESC,"Manage available content.
Favorited items will always appear in the Content Notifications.",
TLStringTextTooltip/TEXT_TOOLTIP_HUD_CONTENTESALARM_OPEN_DESC,View Content Notifications,
TLStringTextTooltip/TEXT_TOOLTIP_HUD_CONTENTESALARM_CLOSE_DESC,Hide Content Notifications,
TLStringTextTooltip/TEXT_TOOLTIP_BASICSTATBONUS_TITLE,Achievement Effect,
TLStringTextTooltip/TEXT_TOOLTIP_WC_008_DESC,"What a beautiful spring day! Can you feel the warm winds blowing?
Get your own outfit full of the spring energy and become a Herald of Spring.
Forest Bouquet Grover, dressed in lovely pink, is waiting for you!

If you purchase the ^<c=@Notification_Highlight>Blossom Outfit^</c> outfit package or ^<c=@Notification_Highlight>Alluring^</c> weapons, you will receive seasonal ^<c=@Notification_Highlight>Starbloom Coins^</c> as well!

Take ^<c=@Notification_Highlight>5 Starbloom Coins^</c> to the ^<c=@Notification_Highlight>Starbloom Coin Exchange Merchant^</c> to exchange them for 
^<c=@Notification_Highlight>Forest Bouquet Grover^</c>.

^<c=@Notification_Highlight>For more information, please see the official announcement on the website.^</c>",
TLStringTextTooltip/TEXT_STRING_TOOLTIP_REWARD_PCINFO_EXP,EXP required to level up your character.,
TLStringTextTooltip/TEXT_TOOLTIP_GUILD_MEMBER_MEMO_EDIT_DESC,Enter Memo,
TLStringTextTooltip/TEXT_TOOLTIP_GUILD_MEMBER_MEMO_EDIT_OK_DESC,Apply,
TLStringTextTooltip/TEXT_TOOLTIP_GUILD_MEMBER_MEMO_EDIT_CANCEL_DESC,Cancel,
TLStringTextTooltip/TEXT_TOOLTIP_WORLDMAP_PIN_CANCEL,Cancel,
TLStringTextTooltip/TEXT_TOOLTIP_MAINMENU_RENAME_CANCEL,Cancel,
TLStringTextTooltip/TEXT_TOOLTIP_HOUSING_CHANGE_NAME_CANCEL,Cancel,
TLStringTextTooltip/TEXT_STRING_TOOLTIP_REQUEST_STACK_UI_CONTRACT_ACEEPT,Check the contract shared by {0}.,
TLStringTextTooltip/TEXT_STRING_TOOLTIP_REQUEST_STACK_UI_CONTRACT_CANCEL,Decline the contract shared by {0}.,
TLStringTextTooltip/TEXT_TOOLTIP_WC_009_DESC,"We, the Gaon Merchants, would like to thank you for your interest in the culture of the East with another meaningful exchange.
 
If you've purchased a ^<c=@Notification_Highlight>Dawn Traveler Package^</c> or a ^<c=@Notification_Highlight>Dawnlight^</c> Equipment Appearance,
please visit the ^<c=@Notification_Highlight>Eastern Enthusiast Token Exchange Merchant^</c> in town
 to redeem the ^<c=@Notification_Highlight>Eastern Enthusiast Tokens^</c> you received.

These tokens can be exchanged for a special ^<c=@Notification_Highlight>sword dance technique^</c>
and a ^<c=@Notification_Highlight>Traveler's Essentials Chest^</c>, which are only given to the Gaon Merchants' warriors.

^<c=@Notification_Highlight>For more details, please check out the announcement on our official website.^</c>",
TLStringTextTooltip/TEXT_TOOLTIP_TAX_INFO_GUIDE_TAX_WARCHEST_DESCRIPTION,"A reward that is available for distribution by the victorious guild in Castle Siege.

^<imgf=IMG_Help_Arrow_Markup_01> When taxes are safely delivered to the castle by Tax Delivery, they're stored in the Siege Vault.
^<imgf=IMG_Help_Arrow_Markup_01> When Castle Siege begins, a portion of the taxes stored in the castle is transferred to the Siege Vault.
^<imgf=IMG_Help_Arrow_Markup_01> When Castle Siege ends, all remaining Pillage Zone taxes are transferred to the Siege Vault.",
TLStringTextTooltip/TEXT_TOOLTIP_GUILD_OCCUPATION_COUNT_TITLE,How to Declare the Guild Battle,
TLStringTextTooltip/TEXT_TOOLTIP_GUILD_OCCUPATION_COUNT_DESC,"^<imgf=IMG_Help_Dot_Markup_01> During the ^<c=@Notification_Highlight>Guild Battle declaration period^</c>, you can ^<c=@Notification_Highlight>declare^</c> a Guild Battle on a Boonstone or Riftstone that's not controlled by a friendly guild. 
^<imgf=IMG_Help_Dot_Markup_01> Guilds will be matched to a Guild Battle in the ^<c=@Notification_Highlight>order of their rankings^</c> and their first, second, and third choices.
^<imgf=IMG_Help_Dot_Markup_01>If your guild's ^<c=@Notification_Highlight>ranking^</c> is ^<c=@Notification_Highlight>lower^</c> than another declaring guild's, you may ^<c=@Notification_Highlight>not be matched^</c> to a Guild Battle.
^<imgf=IMG_Help_Dot_Markup_01> For ^<c=@Notification_Highlight>controlled^</c> Boonstones and Riftstones, the ^<c=@Notification_Highlight>highest-ranked guild^</c> will be matched.
^<imgf=IMG_Help_Dot_Markup_01> The ^<c=@Notification_Highlight>2 highest-ranked guilds^</c> will be matched for Boonstones and Riftstones ^<c=@Notification_Highlight>without a controlling guild^</c>.
^<imgf=IMG_Help_Dot_Markup_01> Guilds that control a Boonstone or Riftstone can only ^<c=@Notification_Highlight>relinquish their control^</c> when they are under ^<c=@Notification_Highlight>protected status^</c>.",
TLStringTextTooltip/TEXT_TOOLTIP_GUILD_OCCUPATION_DECLARE_CHOICE_RESET,Exclude from declaration targets.,
TLStringTextTooltip/TEXT_TOOLTIP_HUD_ZONE_TYPE_TEAMBATTLE_TITLE,^<c=@Dynamic_Event>Dominion Event Zone^</c>,
TLStringTextTooltip/TEXT_TOOLTIP_HUD_ZONE_TYPE_TEAMBATTLE_DESC,"You're automatically assigned to a team based on the content rules.
All players not in your team will be hostile.
Conflicts between player characters will occur.
A penalty will be applied upon death.
No penalties will be applied upon death in War Games.",
TLStringTextTooltip/TEXT_TOOLTIP_GEARSCORE_TITLE,Combat Power,
TLStringTextTooltip/TEXT_TOOLTIP_GEARSCORE_DESC,"A composite of your status, including your Level, skills, Masteries, and equipment.",
TLStringTextTooltip/TEXT_TOOLTIP_GUILD_INFO_MASTER_DELEGATE_DETAIL_DESCRIPTION,"After Guild Leader Appointment, another guild member will be appointed as Guild Leader after 3 days according to the Guild Leader Selection Criteria.
Guild members with 0 Individual Activity Points or Guild Contribution cannot be considered.
If all guild members' Activity Points are 0, the appointment will be canceled.

^<c=@Notification_Highlight>Guild Leader Selection Criteria^</c>
1. Guild member rank
2. Guild Reputation contributions
3. When they joined the guild",
TLStringTextTooltip/TEXT_TOOLTIP_GUILD_INFO_INTERSERVER_REGIONSTONE_VICTORY_TITLE,Inter-Server Dynamic Event Victory,
TLStringTextTooltip/TEXT_TOOLTIP_GUILD_INFO_INTERSERVER_BOSSSTONE_VICTORY_TITLE,Inter-Server Dimension Boss Victory,
TLStringTextTooltip/TEXT_STRING_TOOLTIP_HUD_PCINFO_SOCIALCOIN_LIMIT,"This is a form of social purchasing currency used in the Shop.

^<c=@UI_TXT_Normal>Acquired from:^</c>
^<c=@Notification_Highlight>Collection Codex^</c>

^<imgf=SocialCoin>{0}",
TLStringTextTooltip/TEXT_STRING_TOOLTIP_HUD_PCINFO_SOCIALCOIN,"This is a form of social purchasing currency used in the Shop.

^<c=@UI_TXT_Normal>Acquired from:^</c>
^<c=@Notification_Highlight>Collection Codex^</c> ",
TLStringTextTooltip/TEXT_TOOLTIP_CONTETNSOPEN_CO_ARENA_TITLE,Arena,
TLStringTextTooltip/TEXT_STRING_TOOLTIP_SERVER_STATE_DESC_INCUBATING_TITLE,New (Hyper Boosting) Server,
TLStringTextTooltip/TEXT_STRING_TOOLTIP_SERVER_STATE_DESC_INCUBATING_DESC,"^<imgf=IMG_Help_Dot_Markup_01> New characters only.
^<imgf=IMG_Help_Dot_Markup_01> Enhanced progression with more generous rewards. (Applies to all servers including legacy.)
^<imgf=IMG_Help_Dot_Markup_01> Separate Auction House from legacy servers.
^<imgf=IMG_Help_Dot_Markup_01> Character transfers restricted.
^<imgf=IMG_Help_Dot_Markup_01> Please note, eventually Auction House will be regionally combined and character transfer restrictions will be lifted.",
TLStringTextTooltip/TEXT_TOOLTIP_CHARACTER_POPUP_LIFELEVEL,Miscellaneous Level,
TLStringTextTooltip/TEXT_TOOLTIP_CHARACTER_SLOT_FISHINGROD_DESC,Fishing Rod,
TLStringTextTooltip/TEXT_TOOLTIP_CHARACTER_STATEDIT_POPUP_STATPOINT,Stats,
TLStringTextTooltip/TEXT_TOOLTIP_GUILD_MEMBER_REPUTATION_DESC,Displays total Contribution from past 7 days.,
TLStringTextTooltip/TEXT_RES_SIEGE_INFO_STATUS_BOARD_OPEN_TOOLTIP,View Castle Siege Status Details,
TLStringTextTooltip/TEXT_RES_TOOLTIP_FISHING_BAIT_DEFAULT_DESC,You must equip a bait for fishing.,
TLStringTextTooltip/TEXT_RES_TOOLTIP_FISHING_BAIT_DEFAULT_TITLE,Bait,
TLStringTextTooltip/TEXT_TOOLTIP_BUFF_TAB_DEATHPENALTY,Death Aftereffect,
TLStringTextTooltip/TEXT_TOOLTIP_ARENA_WEEK_MISSION,"Arena Weekly Objective
^<imgf=IMG_Help_Arrow_Markup_01>The Arena Weekly objectives are reset every Wednesday.",
TLStringTextTooltip/TEXT_RES_TOOLTIP_MAINMENU_EDIT_AUTO_END_TITLE,Auto-Exit Menu,
TLStringTextTooltip/TEXT_RES_TOOLTIP_MAINMENU_EDIT_AUTO_END_DESC,Run this function from the Main Menu to automatically exit the Main Menu.,
TLStringTextTooltip/TEXT_TOOLTIP_HUD_ZONE_TYPE_COMBAT_TITLE,^<c=@CombatZone>Combat Zone^</c>,
TLStringTextTooltip/TEXT_TOOLTIP_HUD_ZONE_TYPE_CONFLICT_TITLE,^<c=@ConflictZone>Conflict Zone^</c>,
TLStringTextTooltip/TEXT_TOOLTIP_HUD_ZONE_TYPE_DUEL_TITLE,^<c=@FreeDuelZone>Duel Zone^</c>,
TLStringTextTooltip/TEXT_TOOLTIP_HUD_ZONE_TYPE_PEACE_TITLE,^<c=@PeaceZone>Peace Zone^</c>,
TLStringTextTooltip/TEXT_TOOLTIP_HUD_ZONE_TYPE_SAFETY_TITLE,^<c=@SafeZone>Safe Zone^</c>,
TLStringTextTooltip/TEXT_TOOLTIP_HUD_ZONE_TYPE_WAR_TITLE,^<c=@WarZone>War Zone^</c>,
TLStringTextTooltip/TEXT_TOOLTIP_HUD_ZONE_TYPE_COMBAT_DESC,"Collisions occur between players.
No penalty upon death.",
TLStringTextTooltip/TEXT_TOOLTIP_HUD_ZONE_TYPE_CONFLICT_DESC,"Combat between players is enabled.
Collisions occur between players.
Death may be penalized. ",
TLStringTextTooltip/TEXT_TOOLTIP_HUD_ZONE_TYPE_DUEL_DESC,"All non-party members are enemies.
Collisions occur between players.
No penalty upon death.",
TLStringTextTooltip/TEXT_TOOLTIP_HUD_ZONE_TYPE_PEACE_DESC,"Combat between players is disabled.
No penalty upon death.",
TLStringTextTooltip/TEXT_TOOLTIP_HUD_ZONE_TYPE_SAFETY_DESC,"Combat between players is disabled.
No penalty upon death.
Health and Mana regenerate quickly.",
TLStringTextTooltip/TEXT_TOOLTIP_HUD_ZONE_TYPE_WAR_DESC,"You are hostile to players not from the same party, guild, or Friendly Guilds.
Collisions occur between players.
Death may be penalized. ",
TLStringTextTooltip/TEXT_TOOLTIP_HUD_PCINFO_LOSTANDFOUND_COIN_TITLE,Restoration Coin,
TLStringTextTooltip/TEXT_TOOLTIP_HUD_PCINFO_LOSTANDFOUND_COIN_DESC,"A currency that can be used instead of Sollant when removing Serious Death Aftereffect.

^<c=@UI_TXT_Normal>Acquired from:^</c>
^<c=@Notification_Highlight>Guild Contracts^</c>
^<c=@Notification_Highlight>Inter-Server Dynamic Event^</c>
^<c=@Notification_Highlight>Inter-Server Dimension Boss^</c>
^<c=@Notification_Highlight>Gate of Infinity^</c>",
TLStringTextTooltip/TEXT_TOOLTIP_HUD_PCINFO_LOSTANDFOUND_COIN_LIMIT_DESC,"A currency that can be used instead of Sollant when removing Serious Death Aftereffect.

^<c=@UI_TXT_Normal>Acquired from:^</c>
^<c=@Notification_Highlight>Guild Contracts^</c>
^<c=@Notification_Highlight>Inter-Server Dynamic Event^</c>
^<c=@Notification_Highlight>Inter-Server Dimension Boss^</c>
^<c=@Notification_Highlight>Gate of Infinity^</c>

^<imgf=LostandFoundCoin>{0}",
TLStringTextTooltip/TEXT_TOOLTIP_RESTORATION_HELP_TITLE,Restoration,
TLStringTextTooltip/TEXT_TOOLTIP_RESTORATION_HELP_DESC,Can remove Death Aftereffect.,
TLStringTextTooltip/TEXT_TOOLTIP_AGIDLINKING_TITLE,LINK ACCOUNTS,
TLStringTextTooltip/TEXT_TOOLTIP_AGIDLINKING_DESC,Link your Amazon account and receive special rewards during game Launch.,
TLStringTextTooltip/TEXT_RES_TOOLTIP_FISHINGMODE_OFF_DESC,Equip/Unequip Fishing Rod,
TLStringTextTooltip/TEXT_RES_TOOLTIP_FISHINGMODE_ON_DESC,Equip/Unequip Fishing Rod,
TLStringTextTooltip/TEXT_TOOLTIP_HUD_PCINFO_DIAMOND_AGS_JP_TITLE,Lucent,
TLStringTextTooltip/TEXT_TOOLTIP_HUD_PCINFO_DIAMOND_LIMIT_AGS_JP_TITLE,Lucent,
TLStringTextTooltip/TEXT_TOOLTIP_HUD_PCINFO_DIAMOND_JP_TITLE,Lucent,
TLStringTextTooltip/TEXT_TOOLTIP_HUD_PCINFO_DIAMOND_LIMIT_JP_TITLE,Lucent,
